PLACE_NM,TRRSRT_ROAD_NM_ADDR,TRNSPORT_INFO_CN,CRSLK_ADDR,CRSLK_ROAD_NM,CHILD_PRTC_ZONE_AT,CRSLK_LA,CRSLK_LO
충렬사,부산광역시 동래구 충렬대로 345,"도시철도 4호선 충렬사역 1번 출구 도보 1분, 버스 105, 129-1, 148, 29, 42, 99, 1010 낙민역 하차, 주차 충렬사 주차장",부산 동래구 안락동 473,반송로,Y,35.19897,129.09671
롯데백화점 동래점,부산광역시 동래구 중앙대로1393,"도시철도 1호선 명륜역 1,5번 출구 명륜역 육교 연결통로 롯데백화점 동래점 방향 도보 5분, 버스 100-1, 111-1, 121, 144, 148-1, 189, 210 롯데백화점 동래점 하차 도보 3분, 주차 롯데백화점 동래점 주차장",부산 동래구 온천동 502-5,동래로,N,35.21227,129.07689
우장춘기념관,부산광역시 동래구 우장춘로62번길 7,"도시철도 3호선/4호선 미남역 14번 출구 도보 11분, 도시철도 1호선 명륜역 1번 출구 도보 16분, 버스 80, 동래구1-1, 동래구3 우장춘기념관 하차",부산 동래구 온천동 390-2,우장춘로,Y,35.21328,129.07173
금강사,부산광역시 동래구 우장춘로 211(금강사),"도시철도 1호선 온천장역 5번 출구 도보 16분, 마을버스 동래구1-1 금강식물원 하차",부산 동래구 온천동 5-3,우장춘로,Y,35.22473,129.07803
부산해양자연사박물관,부산광역시 동래구 우장춘로 175,"도시철도 1호선 동래역 4번 출구 마을버스 1-1번 환승 해양자연사박물관 하차, 금강공원 공영주차장 이용(유료)",부산 동래구 온천동 204-48,우장춘로,Y,35.21928,129.07646
온천천카페거리,부산광역시 동래구 온천천로 451-1,"동해선 안락역 1번 출구 도보 12분, 버스 86, 210, 동래구2 강변뜨란채아파트 하차 도보 5분, 주차 안락역 공영주차장",부산 동래구 안락동 638,온천천로,Y,35.19301,129.10327
도시철도 미남역,부산광역시 동래구 아시아드대로 지하 232,도시철도 3호선 미남역 지하,부산 동래구 온천동 1486,석사북로,Y,35.20561,129.0682
글로빌아트홀,부산광역시 동래구 사직북로48번길 162,도시철도 3호선 미남역 1번출구에서 도보 8분,부산 동래구 온천동 1486,석사북로,Y,35.20542,129.06552
사직야구장,부산광역시 동래구 사직로 45,"도시철도 3호선 종합운동장역 9번 출구 도보 11분, 버스 54, 57, 83-1, 131 사직실내수영장 하차 도보 4분",부산 동래구 사직동 737,사직로,Y,35.19512,129.05686
쇠미산,부산광역시 동래구 사직동 산81-7,도시철도 3호선 미남역 3번 출구 - 버스 210번 환승 - 원광사 하차,부산 동래구 사직동 600-38,쇠미로,Y,35.1992,129.05381
복천박물관,부산광역시 동래구 복천로 63,"도시철도 4호선 수안역 5번 출구 도보 18분, 마을버스 동래구6 복천박물관 하차",부산 동래구 칠산동 산 1-47,칠산로,Y,35.20812,129.09174
박차정의사 생가,부산광역시 동래구 명륜로98번길 129-10,"도시철도 4호선 낙민역 1번 출구 도보 4분, 버스 100, 110-1, 129-1, 144, 148, 200, 210, 29, 31, 43, 44, 49, 57 동래시장 하차",부산 동래구 낙민동 231,충렬대로,Y,35.20111,129.08903
동래읍성,"부산광역시 동래구 명륜, 복천, 칠산, 명장, 안락동 일대","도시철도 명륜역 2번 출구 도보 21분, 마을버스 동래구1-1, 동래구7 동래문화회관 하차 도보 4분",부산 동래구 칠산동 50,칠산로,Y,35.20783,129.09211
동래시장,부산광역시 동래구 동래시장길 14,"도시철도 4호선 수안역 7번 출구 도보 5분, 버스 100, 110-1, 동래구2 동래시장 하차, 주차 동래시장 공영주차장(유료)",부산 동래구 복천동 230-1,명륜로,Y,35.20336,129.08539
동래향교,부산광역시 동래구 동래로 103,"도시철도 1, 4호선 동래역 4번 출구 도보 10분, 버스 100, 110-1, 동래구1, 동래구3, 동래구6-1 복산동주민센터 하차 도보 4분",부산 동래구 명륜동 233-2,동래로,Y,35.20726,129.08388
이중섭 문화거리,부산광역시 동구 증산로 168,"도시철도 1호선 좌천역 7번 출구 도보 12분, 버스 186, 29, 38, 86, 동구1, 동구1-1 아름빌아파트 하차",부산 동구 범일동 1622-46,증산로,Y,35.13995,129.05142
